Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
15,Sun Apr 5 2015,SV Rehberg,1-0,USC Schweiggers,2015,Apr,5,5/Apr/2015,Sun,1,1,0,SV Rehberg
15,Sun Apr 5 2015,SC Echsenbach,4-0,USC Altenwörth,2015,Apr,5,5/Apr/2015,Sun,4,4,0,SC Echsenbach
15,Sun Apr 5 2015,SV Sieghartskirchen,0-2,Horn Amateure,2015,Apr,5,5/Apr/2015,Sun,2,0,2,Horn Amateure
15,Sun Apr 5 2015,USV Groß Gerungs,02-Feb,SC Guntersdorf,2015,Apr,5,5/Apr/2015,Sun,4,2,2,Draw
15,Sun Apr 5 2015,USC Grafenwörth,01-Jan,SV Zwentendorf,2015,Apr,5,5/Apr/2015,Sun,2,1,1,Draw
15,Sun Apr 5 2015,USC Kirchberg/W.,0-5,USV Langenlois,2015,Apr,5,5/Apr/2015,Sun,5,0,5,USV Langenlois
15,Sun Apr 5 2015,SC St. Martin,04-Jan,SC Weißenkirchen,2015,Apr,5,5/Apr/2015,Sun,5,4,1,SC St. Martin
16,Sun Apr 12 2015,SC Weißenkirchen,01-Feb,USC Grafenwörth,2015,Apr,12,12/Apr/2015,Sun,3,1,2,USC Grafenwörth
16,Sun Apr 12 2015,USC Schweiggers,04-Jan,SV Sieghartskirchen,2015,Apr,12,12/Apr/2015,Sun,5,4,1,USC Schweiggers
16,Sun Apr 12 2015,SC Guntersdorf,1-0,USC Kirchberg/W.,2015,Apr,12,12/Apr/2015,Sun,1,1,0,SC Guntersdorf
16,Sun Apr 12 2015,SV Zwentendorf,0-1,USV Groß Gerungs,2015,Apr,12,12/Apr/2015,Sun,1,0,1,USV Groß Gerungs
16,Sun Apr 12 2015,Horn Amateure,04-Jan,SC St. Martin,2015,Apr,12,12/Apr/2015,Sun,5,4,1,Horn Amateure
16,Sun Apr 12 2015,USC Altenwörth,0-0,SV Rehberg,2015,Apr,12,12/Apr/2015,Sun,0,0,0,Draw
16,Sun Apr 12 2015,USV Langenlois,02-Jan,SC Echsenbach,2015,Apr,12,12/Apr/2015,Sun,3,2,1,USV Langenlois
17,Sun Apr 19 2015,SV Sieghartskirchen,1-0,USC Altenwörth,2015,Apr,19,19/Apr/2015,Sun,1,1,0,SV Sieghartskirchen
17,Sun Apr 19 2015,USV Groß Gerungs,01-Mar,SC Weißenkirchen,2015,Apr,19,19/Apr/2015,Sun,4,1,3,SC Weißenkirchen
17,Sun Apr 19 2015,SV Rehberg,03-Jan,USV Langenlois,2015,Apr,19,19/Apr/2015,Sun,4,3,1,SV Rehberg
