Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
6,Wed Sep 18 2019,RCD La Coruña,03-Mar,CD Numancia,2019,Sep,18,18/Sep/2019,Wed,6,3,3,Draw
6,Thu Sep 19 2019,Elche CF,01-Jan,CD Tenerife,2019,Sep,19,19/Sep/2019,Thu,2,1,1,Draw
6,Thu Sep 19 2019,Real Oviedo,01-Jan,Extremadura UD,2019,Sep,19,19/Sep/2019,Thu,2,1,1,Draw
6,Thu Sep 19 2019,UD Las Palmas,1-0,Sporting Gijón,2019,Sep,19,19/Sep/2019,Thu,1,1,0,UD Las Palmas
7,Fri Sep 20 2019,CD Mirandés,02-Feb,AD Alcorcón,2019,Sep,20,20/Sep/2019,Fri,4,2,2,Draw
7,Sat Sep 21 2019,Cádiz CF,0-0,RCD La Coruña,2019,Sep,21,21/Sep/2019,Sat,0,0,0,Draw
7,Sat Sep 21 2019,Real Zaragoza,0-0,CD Lugo,2019,Sep,21,21/Sep/2019,Sat,0,0,0,Draw
7,Sat Sep 21 2019,Rayo Vallecano,01-Jan,UD Almería,2019,Sep,21,21/Sep/2019,Sat,2,1,1,Draw
7,Sat Sep 21 2019,Albacete Balompié,1-0,Málaga CF,2019,Sep,21,21/Sep/2019,Sat,1,1,0,Albacete Balompié
7,Sun Sep 22 2019,SD Ponferradina,02-Jan,Real Oviedo,2019,Sep,22,22/Sep/2019,Sun,3,2,1,SD Ponferradina
7,Sun Sep 22 2019,Girona FC,1-0,UD Las Palmas,2019,Sep,22,22/Sep/2019,Sun,1,1,0,Girona FC
7,Sun Sep 22 2019,Sporting Gijón,01-Jan,Real Racing Santander,2019,Sep,22,22/Sep/2019,Sun,2,1,1,Draw
7,Sun Sep 22 2019,CD Numancia,01-Jan,Elche CF,2019,Sep,22,22/Sep/2019,Sun,2,1,1,Draw
7,Sun Sep 22 2019,Extremadura UD,0-1,SD Huesca,2019,Sep,22,22/Sep/2019,Sun,1,0,1,SD Huesca
7,Sun Sep 22 2019,CD Tenerife,0-1,CF Fuenlabrada,2019,Sep,22,22/Sep/2019,Sun,1,0,1,CF Fuenlabrada
8,Fri Sep 27 2019,UD Las Palmas,03-Feb,Albacete Balompié,2019,Sep,27,27/Sep/2019,Fri,5,3,2,UD Las Palmas
8,Sat Sep 28 2019,CF Fuenlabrada,02-Feb,Rayo Vallecano,2019,Sep,28,28/Sep/2019,Sat,4,2,2,Draw
8,Sat Sep 28 2019,AD Alcorcón,0-2,Extremadura UD,2019,Sep,28,28/Sep/2019,Sat,2,0,2,Extremadura UD
8,Sat Sep 28 2019,SD Huesca,1-0,Girona FC,2019,Sep,28,28/Sep/2019,Sat,1,1,0,SD Huesca
8,Sat Sep 28 2019,Elche CF,1-0,SD Ponferradina,2019,Sep,28,28/Sep/2019,Sat,1,1,0,Elche CF
8,Sat Sep 28 2019,Real Racing Santander,0-0,CD Numancia,2019,Sep,28,28/Sep/2019,Sat,0,0,0,Draw
8,Sun Sep 29 2019,Málaga CF,0-0,Sporting Gijón,2019,Sep,29,29/Sep/2019,Sun,0,0,0,Draw
8,Sun Sep 29 2019,UD Almería,01-Feb,Cádiz CF,2019,Sep,29,29/Sep/2019,Sun,3,1,2,Cádiz CF
8,Sun Sep 29 2019,Real Oviedo,02-Feb,Real Zaragoza,2019,Sep,29,29/Sep/2019,Sun,4,2,2,Draw
8,Sun Sep 29 2019,CD Lugo,01-Apr,CD Tenerife,2019,Sep,29,29/Sep/2019,Sun,5,1,4,CD Tenerife
8,Sun Sep 29 2019,RCD La Coruña,01-Jan,CD Mirandés,2019,Sep,29,29/Sep/2019,Sun,2,1,1,Draw
9,Tue Oct 1 2019,CD Numancia,1-0,CF Fuenlabrada,2019,Oct,1,1/Oct/2019,Tue,1,1,0,CD Numancia
9,Tue Oct 1 2019,Albacete Balompié,0-0,Real Racing Santander,2019,Oct,1,1/Oct/2019,Tue,0,0,0,Draw
9,Tue Oct 1 2019,Extremadura UD,2-0,Elche CF,2019,Oct,1,1/Oct/2019,Tue,2,2,0,Extremadura UD
9,Tue Oct 1 2019,Rayo Vallecano,01-Jan,AD Alcorcón,2019,Oct,1,1/Oct/2019,Tue,2,1,1,Draw
9,Wed Oct 2 2019,CD Mirandés,01-Jan,CD Lugo,2019,Oct,2,2/Oct/2019,Wed,2,1,1,Draw
9,Wed Oct 2 2019,Cádiz CF,1-0,SD Huesca,2019,Oct,2,2/Oct/2019,Wed,1,1,0,Cádiz CF
9,Wed Oct 2 2019,CD Tenerife,0-1,Real Oviedo,2019,Oct,2,2/Oct/2019,Wed,1,0,1,Real Oviedo
9,Wed Oct 2 2019,SD Ponferradina,0-2,UD Las Palmas,2019,Oct,2,2/Oct/2019,Wed,2,0,2,UD Las Palmas
9,Thu Oct 3 2019,Real Zaragoza,02-Feb,Málaga CF,2019,Oct,3,3/Oct/2019,Thu,4,2,2,Draw
9,Thu Oct 3 2019,Sporting Gijón,04-Feb,UD Almería,2019,Oct,3,3/Oct/2019,Thu,6,4,2,Sporting Gijón
