Country,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
,12,Fri Sep 24 2010,SV Grödig,04-Jan,First Vienna FC,2010,Sep,24,24/Sep/2010,Fri,5,4,1,SV Grödig
,12,Fri Sep 24 2010,Wolfsberger AC,0-0,Austria Lustenau,2010,Sep,24,24/Sep/2010,Fri,0,0,0,Draw
,12,Fri Sep 24 2010,FC Lustenau 07,0-3,FC Admira Wacker Mödling,2010,Sep,24,24/Sep/2010,Fri,3,0,3,FC Admira Wacker Mödling
,12,Fri Sep 24 2010,SCR Altach,1-0,FC Gratkorn,2010,Sep,24,24/Sep/2010,Fri,1,1,0,SCR Altach
,13,Fri Oct 1 2010,TSV Hartberg,01-Feb,FC Admira Wacker Mödling,2010,Oct,1,1/Oct/2010,Fri,3,1,2,FC Admira Wacker Mödling
,13,Fri Oct 1 2010,FC Gratkorn,01-May,SKN St. Pölten,2010,Oct,1,1/Oct/2010,Fri,6,1,5,SKN St. Pölten
,13,Fri Oct 1 2010,Austria Lustenau,2-0,SCR Altach,2010,Oct,1,1/Oct/2010,Fri,2,2,0,Austria Lustenau
,13,Fri Oct 1 2010,SV Grödig,0-6,FC Lustenau 07,2010,Oct,1,1/Oct/2010,Fri,6,0,6,FC Lustenau 07
,13,Fri Oct 1 2010,First Vienna FC,1-0,Wolfsberger AC,2010,Oct,1,1/Oct/2010,Fri,1,1,0,First Vienna FC
,14,Fri Oct 15 2010,SKN St. Pölten,1-0,Austria Lustenau,2010,Oct,15,15/Oct/2010,Fri,1,1,0,SKN St. Pölten
,14,Fri Oct 15 2010,Wolfsberger AC,2-0,SV Grödig,2010,Oct,15,15/Oct/2010,Fri,2,2,0,Wolfsberger AC
,14,Fri Oct 15 2010,SCR Altach,04-Feb,First Vienna FC,2010,Oct,15,15/Oct/2010,Fri,6,4,2,SCR Altach
,14,Fri Oct 15 2010,FC Lustenau 07,02-Feb,TSV Hartberg,2010,Oct,15,15/Oct/2010,Fri,4,2,2,Draw
,14,Fri Oct 15 2010,FC Admira Wacker Mödling,3-0,FC Gratkorn,2010,Oct,15,15/Oct/2010,Fri,3,3,0,FC Admira Wacker Mödling
,15,Fri Oct 22 2010,Austria Lustenau,02-Jan,FC Admira Wacker Mödling,2010,Oct,22,22/Oct/2010,Fri,3,2,1,Austria Lustenau
,15,Fri Oct 22 2010,FC Gratkorn,03-Jan,TSV Hartberg,2010,Oct,22,22/Oct/2010,Fri,4,3,1,FC Gratkorn
,15,Fri Oct 22 2010,SV Grödig,0-2,SCR Altach,2010,Oct,22,22/Oct/2010,Fri,2,0,2,SCR Altach
,15,Fri Oct 22 2010,Wolfsberger AC,01-Mar,FC Lustenau 07,2010,Oct,22,22/Oct/2010,Fri,4,1,3,FC Lustenau 07
,15,Fri Oct 22 2010,First Vienna FC,03-Apr,SKN St. Pölten,2010,Oct,22,22/Oct/2010,Fri,7,3,4,SKN St. Pölten
,16,Mon Oct 25 2010,SCR Altach,03-Jan,Wolfsberger AC,2010,Oct,25,25/Oct/2010,Mon,4,3,1,SCR Altach
,16,Tue Oct 26 2010,SKN St. Pölten,01-Jan,SV Grödig,2010,Oct,26,26/Oct/2010,Tue,2,1,1,Draw
,16,Tue Oct 26 2010,FC Admira Wacker Mödling,04-Jan,First Vienna FC,2010,Oct,26,26/Oct/2010,Tue,5,4,1,FC Admira Wacker Mödling
,16,Tue Oct 26 2010,TSV Hartberg,02-Jan,Austria Lustenau,2010,Oct,26,26/Oct/2010,Tue,3,2,1,TSV Hartberg
,16,Tue Oct 26 2010,FC Lustenau 07,1-0,FC Gratkorn,2010,Oct,26,26/Oct/2010,Tue,1,1,0,FC Lustenau 07
,17,Fri Oct 29 2010,Austria Lustenau,02-Jan,FC Gratkorn,2010,Oct,29,29/Oct/2010,Fri,3,2,1,Austria Lustenau
,17,Fri Oct 29 2010,First Vienna FC,0-1,TSV Hartberg,2010,Oct,29,29/Oct/2010,Fri,1,0,1,TSV Hartberg
,17,Fri Oct 29 2010,SV Grödig,01-Jan,FC Admira Wacker Mödling,2010,Oct,29,29/Oct/2010,Fri,2,1,1,Draw
,17,Fri Oct 29 2010,Wolfsberger AC,01-Mar,SKN St. Pölten,2010,Oct,29,29/Oct/2010,Fri,4,1,3,SKN St. Pölten
,17,Fri Oct 29 2010,SCR Altach,02-Jan,FC Lustenau 07,2010,Oct,29,29/Oct/2010,Fri,3,2,1,SCR Altach
,18,Fri Nov 5 2010,SKN St. Pölten,0-0,SCR Altach,2010,Nov,5,5/Nov/2010,Fri,0,0,0,Draw
,18,Fri Nov 5 2010,FC Admira Wacker Mödling,2-0,Wolfsberger AC,2010,Nov,5,5/Nov/2010,Fri,2,2,0,FC Admira Wacker Mödling
,18,Fri Nov 5 2010,TSV Hartberg,02-Jan,SV Grödig,2010,Nov,5,5/Nov/2010,Fri,3,2,1,TSV Hartberg
,18,Fri Nov 5 2010,FC Gratkorn,4-0,First Vienna FC,2010,Nov,5,5/Nov/2010,Fri,4,4,0,FC Gratkorn
,18,Fri Nov 5 2010,FC Lustenau 07,0-3,Austria Lustenau,2010,Nov,5,5/Nov/2010,Fri,3,0,3,Austria Lustenau
,19,Fri Nov 12 2010,First Vienna FC,01-Jan,FC Lustenau 07,2010,Nov,12,12/Nov/2010,Fri,2,1,1,Draw
,19,Fri Nov 12 2010,Austria Lustenau,02-Jan,SV Grödig,2010,Nov,12,12/Nov/2010,Fri,3,2,1,Austria Lustenau
,19,Fri Nov 12 2010,FC Admira Wacker Mödling,0-1,Wolfsberger AC,2010,Nov,12,12/Nov/2010,Fri,1,0,1,Wolfsberger AC
,19,Fri Nov 12 2010,FC Gratkorn,02-Feb,SKN St. Pölten,2010,Nov,12,12/Nov/2010,Fri,4,2,2,Draw
,19,Sat Nov 13 2010,TSV Hartberg,01-Feb,SCR Altach,2010,Nov,13,13/Nov/2010,Sat,3,1,2,SCR Altach
,20,Fri Nov 19 2010,FC Lustenau 07,01-Mar,FC Gratkorn,2010,Nov,19,19/Nov/2010,Fri,4,1,3,FC Gratkorn
,20,Fri Nov 19 2010,SKN St. Pölten,3-0,TSV Hartberg,2010,Nov,19,19/Nov/2010,Fri,3,3,0,SKN St. Pölten
,20,Fri Nov 19 2010,Wolfsberger AC,04-Feb,Austria Lustenau,2010,Nov,19,19/Nov/2010,Fri,6,4,2,Wolfsberger AC
,20,Fri Nov 19 2010,SV Grödig,03-Feb,First Vienna FC,2010,Nov,19,19/Nov/2010,Fri,5,3,2,SV Grödig
,20,Fri Nov 19 2010,SCR Altach,4-0,FC Admira Wacker Mödling,2010,Nov,19,19/Nov/2010,Fri,4,4,0,SCR Altach
,21,Fri Nov 26 2010,TSV Hartberg,2-0,FC Gratkorn,2010,Nov,26,26/Nov/2010,Fri,2,2,0,TSV Hartberg
,21,Fri Nov 26 2010,FC Admira Wacker Mödling,05-Jan,SKN St. Pölten,2010,Nov,26,26/Nov/2010,Fri,6,5,1,FC Admira Wacker Mödling
,21,Fri Nov 26 2010,Austria Lustenau,02-Jan,SCR Altach,2010,Nov,26,26/Nov/2010,Fri,3,2,1,Austria Lustenau
,21,Fri Nov 26 2010,SV Grödig,02-Jan,FC Lustenau 07,2010,Nov,26,26/Nov/2010,Fri,3,2,1,SV Grödig
,21,Fri Nov 26 2010,First Vienna FC,0-4,Wolfsberger AC,2010,Nov,26,26/Nov/2010,Fri,4,0,4,Wolfsberger AC
,22,Fri Feb 25 2011,FC Lustenau 07,01-Mar,TSV Hartberg,2011,Feb,25,25/Feb/2011,Fri,4,1,3,TSV Hartberg
,22,Fri Feb 25 2011,FC Gratkorn,0-6,FC Admira Wacker Mödling,2011,Feb,25,25/Feb/2011,Fri,6,0,6,FC Admira Wacker Mödling
