Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Australia,N/A,16,Sat Nov 20 2010,Kapfenberger SV,03-Mar,SV Ried,2010,Nov,20,20/Nov/2010,Sat,6,3,3,Draw
Australia,N/A,16,Sat Nov 20 2010,SK Rapid Wien,5-0,LASK Linz,2010,Nov,20,20/Nov/2010,Sat,5,5,0,SK Rapid Wien
Australia,N/A,16,Sat Nov 20 2010,FC RB Salzburg,1-0,SV Mattersburg,2010,Nov,20,20/Nov/2010,Sat,1,1,0,FC RB Salzburg
Australia,N/A,16,Sun Nov 21 2010,FC Wacker Innsbruck,0-1,FK Austria Wien,2010,Nov,21,21/Nov/2010,Sun,1,0,1,FK Austria Wien
Australia,N/A,5,Wed Nov 24 2010,FC RB Salzburg,2-0,SK Sturm Graz,2010,Nov,24,24/Nov/2010,Wed,2,2,0,FC RB Salzburg
Australia,N/A,17,Sat Nov 27 2010,Kapfenberger SV,01-Feb,SC Wiener Neustadt,2010,Nov,27,27/Nov/2010,Sat,3,1,2,SC Wiener Neustadt
Australia,N/A,17,Sat Nov 27 2010,SV Ried,1-0,FC Wacker Innsbruck,2010,Nov,27,27/Nov/2010,Sat,1,1,0,SV Ried
Australia,N/A,17,Sat Nov 27 2010,LASK Linz,01-Feb,FC RB Salzburg,2010,Nov,27,27/Nov/2010,Sat,3,1,2,FC RB Salzburg
Australia,N/A,17,Sat Nov 27 2010,SV Mattersburg,01-Jan,SK Sturm Graz,2010,Nov,27,27/Nov/2010,Sat,2,1,1,Draw
Australia,N/A,17,Sun Nov 28 2010,FK Austria Wien,0-1,SK Rapid Wien,2010,Nov,28,28/Nov/2010,Sun,1,0,1,SK Rapid Wien
Australia,N/A,18,Sat Dec 4 2010,SC Wiener Neustadt,1-0,SV Mattersburg,2010,Dec,4,4/Dec/2010,Sat,1,1,0,SC Wiener Neustadt
Australia,N/A,18,Sat Dec 4 2010,FC RB Salzburg,01-Jan,FK Austria Wien,2010,Dec,4,4/Dec/2010,Sat,2,1,1,Draw
Australia,N/A,18,Sat Dec 4 2010,FC Wacker Innsbruck,01-Mar,Kapfenberger SV,2010,Dec,4,4/Dec/2010,Sat,4,1,3,Kapfenberger SV
Australia,N/A,18,Sat Dec 4 2010,SK Sturm Graz,5-0,LASK Linz,2010,Dec,4,4/Dec/2010,Sat,5,5,0,SK Sturm Graz
Australia,N/A,18,Sun Dec 5 2010,SK Rapid Wien,3-0,SV Ried,2010,Dec,5,5/Dec/2010,Sun,3,3,0,SK Rapid Wien
Australia,N/A,19,Sat Dec 11 2010,SV Ried,1-0,SC Wiener Neustadt,2010,Dec,11,11/Dec/2010,Sat,1,1,0,SV Ried
Australia,N/A,19,Sat Dec 11 2010,Kapfenberger SV,02-Feb,LASK Linz,2010,Dec,11,11/Dec/2010,Sat,4,2,2,Draw
Australia,N/A,19,Sat Dec 11 2010,SK Rapid Wien,03-Mar,FC Wacker Innsbruck,2010,Dec,11,11/Dec/2010,Sat,6,3,3,Draw
Australia,N/A,19,Sat Dec 11 2010,SV Mattersburg,01-Feb,FK Austria Wien,2010,Dec,11,11/Dec/2010,Sat,3,1,2,FK Austria Wien
Australia,N/A,19,Sun Dec 12 2010,FC RB Salzburg,02-Jan,SK Sturm Graz,2010,Dec,12,12/Dec/2010,Sun,3,2,1,FC RB Salzburg
Australia,N/A,20,Sat Feb 12 2011,FK Austria Wien,1-0,SV Ried,2011,Feb,12,12/Feb/2011,Sat,1,1,0,FK Austria Wien
Australia,N/A,20,Sat Feb 12 2011,SC Wiener Neustadt,2-0,SK Rapid Wien,2011,Feb,12,12/Feb/2011,Sat,2,2,0,SC Wiener Neustadt
Australia,N/A,20,Sat Feb 12 2011,SK Sturm Graz,2-0,Kapfenberger SV,2011,Feb,12,12/Feb/2011,Sat,2,2,0,SK Sturm Graz
Australia,N/A,20,Sat Feb 12 2011,LASK Linz,0-1,SV Mattersburg,2011,Feb,12,12/Feb/2011,Sat,1,0,1,SV Mattersburg
Australia,N/A,20,Sun Feb 13 2011,FC Wacker Innsbruck,01-Jan,FC RB Salzburg,2011,Feb,13,13/Feb/2011,Sun,2,1,1,Draw
Australia,N/A,21,Sat Feb 19 2011,FK Austria Wien,4-0,SC Wiener Neustadt,2011,Feb,19,19/Feb/2011,Sat,4,4,0,FK Austria Wien
Australia,N/A,21,Sat Feb 19 2011,SV Mattersburg,01-Jan,SK Sturm Graz,2011,Feb,19,19/Feb/2011,Sat,2,1,1,Draw
Australia,N/A,21,Sat Feb 19 2011,SV Ried,2-0,LASK Linz,2011,Feb,19,19/Feb/2011,Sat,2,2,0,SV Ried
Australia,N/A,21,Sun Feb 20 2011,FC RB Salzburg,01-Jan,SK Rapid Wien,2011,Feb,20,20/Feb/2011,Sun,2,1,1,Draw
Australia,N/A,22,Sat Feb 26 2011,LASK Linz,0-4,FK Austria Wien,2011,Feb,26,26/Feb/2011,Sat,4,0,4,FK Austria Wien
Australia,N/A,22,Sat Feb 26 2011,SK Rapid Wien,2-0,Kapfenberger SV,2011,Feb,26,26/Feb/2011,Sat,2,2,0,SK Rapid Wien
