Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Finaldurchgang - Qualifikation,28,Sat Apr 27 2019,SCR Altach,01-Apr,FC Wacker Innsbruck,2019,Apr,27,27/Apr/2019,Sat,5,1,4,FC Wacker Innsbruck
Finaldurchgang - Qualifikation,28,Sat Apr 27 2019,SV Mattersburg,01-Jan,FC Admira Wacker Mödling,2019,Apr,27,27/Apr/2019,Sat,2,1,1,Draw
Finaldurchgang - Meister,28,Sun Apr 28 2019,SK Sturm Graz,02-Mar,LASK Linz,2019,Apr,28,28/Apr/2019,Sun,5,2,3,LASK Linz
Finaldurchgang - Meister,28,Sun Apr 28 2019,Wolfsberger AC,02-Jan,FC RB Salzburg,2019,Apr,28,28/Apr/2019,Sun,3,2,1,Wolfsberger AC
Finaldurchgang - Meister,28,Sun Apr 28 2019,SKN St. Pölten,01-Feb,FK Austria Wien,2019,Apr,28,28/Apr/2019,Sun,3,1,2,FK Austria Wien
Finaldurchgang - Qualifikation,29,Sat May 4 2019,SV Mattersburg,0-0,SCR Altach,2019,May,4,4/May/2019,Sat,0,0,0,Draw
Finaldurchgang - Qualifikation,29,Sat May 4 2019,FC Wacker Innsbruck,1-0,TSV Hartberg,2019,May,4,4/May/2019,Sat,1,1,0,FC Wacker Innsbruck
Finaldurchgang - Qualifikation,29,Sat May 4 2019,FC Admira Wacker Mödling,03-Apr,SK Rapid Wien,2019,May,4,4/May/2019,Sat,7,3,4,SK Rapid Wien
Finaldurchgang - Meister,29,Sun May 5 2019,SKN St. Pölten,0-1,SK Sturm Graz,2019,May,5,5/May/2019,Sun,1,0,1,SK Sturm Graz
Finaldurchgang - Meister,29,Sun May 5 2019,LASK Linz,3-0,Wolfsberger AC,2019,May,5,5/May/2019,Sun,3,3,0,LASK Linz
Finaldurchgang - Meister,29,Sun May 5 2019,FK Austria Wien,01-Feb,FC RB Salzburg,2019,May,5,5/May/2019,Sun,3,1,2,FC RB Salzburg
Finaldurchgang - Qualifikation,30,Sat May 11 2019,TSV Hartberg,02-Jan,SV Mattersburg,2019,May,11,11/May/2019,Sat,3,2,1,TSV Hartberg
Finaldurchgang - Qualifikation,30,Sat May 11 2019,SK Rapid Wien,1-0,FC Wacker Innsbruck,2019,May,11,11/May/2019,Sat,1,1,0,SK Rapid Wien
Finaldurchgang - Qualifikation,30,Sat May 11 2019,SCR Altach,02-Feb,FC Admira Wacker Mödling,2019,May,11,11/May/2019,Sat,4,2,2,Draw
Finaldurchgang - Meister,30,Sun May 12 2019,Wolfsberger AC,4-0,SKN St. Pölten,2019,May,12,12/May/2019,Sun,4,4,0,Wolfsberger AC
Finaldurchgang - Meister,30,Sun May 12 2019,FC RB Salzburg,02-Jan,LASK Linz,2019,May,12,12/May/2019,Sun,3,2,1,FC RB Salzburg
Finaldurchgang - Meister,30,Sun May 12 2019,SK Sturm Graz,01-Mar,FK Austria Wien,2019,May,12,12/May/2019,Sun,4,1,3,FK Austria Wien
Finaldurchgang - Qualifikation,31,Sat May 18 2019,FC Admira Wacker Mödling,03-Feb,FC Wacker Innsbruck,2019,May,18,18/May/2019,Sat,5,3,2,FC Admira Wacker Mödling
Finaldurchgang - Qualifikation,31,Sat May 18 2019,SCR Altach,03-Jan,TSV Hartberg,2019,May,18,18/May/2019,Sat,4,3,1,SCR Altach
Finaldurchgang - Qualifikation,31,Sat May 18 2019,SV Mattersburg,1-0,SK Rapid Wien,2019,May,18,18/May/2019,Sat,1,1,0,SV Mattersburg
Finaldurchgang - Meister,31,Sun May 19 2019,SK Sturm Graz,01-Feb,FC RB Salzburg,2019,May,19,19/May/2019,Sun,3,1,2,FC RB Salzburg
Finaldurchgang - Meister,31,Sun May 19 2019,SKN St. Pölten,0-1,LASK Linz,2019,May,19,19/May/2019,Sun,1,0,1,LASK Linz
Finaldurchgang - Meister,31,Sun May 19 2019,FK Austria Wien,2-0,Wolfsberger AC,2019,May,19,19/May/2019,Sun,2,2,0,FK Austria Wien
Finaldurchgang - Qualifikation,32,Sat May 25 2019,SK Rapid Wien,01-Feb,SCR Altach,2019,May,25,25/May/2019,Sat,3,1,2,SCR Altach
Finaldurchgang - Qualifikation,32,Sat May 25 2019,TSV Hartberg,03-Jan,FC Admira Wacker Mödling,2019,May,25,25/May/2019,Sat,4,3,1,TSV Hartberg
Finaldurchgang - Qualifikation,32,Sat May 25 2019,FC Wacker Innsbruck,4-0,SV Mattersburg,2019,May,25,25/May/2019,Sat,4,4,0,FC Wacker Innsbruck
Finaldurchgang - Meister,32,Sun May 26 2019,FC RB Salzburg,7-0,SKN St. Pölten,2019,May,26,26/May/2019,Sun,7,7,0,FC RB Salzburg
Finaldurchgang - Meister,32,Sun May 26 2019,Wolfsberger AC,02-Jan,SK Sturm Graz,2019,May,26,26/May/2019,Sun,3,2,1,Wolfsberger AC
Finaldurchgang - Meister,32,Sun May 26 2019,LASK Linz,05-Feb,FK Austria Wien,2019,May,26,26/May/2019,Sun,7,5,2,LASK Linz
Europa League Play-off,Halbfinale,Tue May 28 2019,SK Rapid Wien,2-0,SV Mattersburg,2019,May,28,28/May/2019,Tue,2,2,0,SK Rapid Wien
Europa League Play-off,Finale,Thu May 30 2019,SK Rapid Wien,01-Feb,SK Sturm Graz,2019,May,30,30/May/2019,Thu,3,1,2,SK Sturm Graz
Europa League Play-off,Finale,Sun Jun 2 2019,SK Sturm Graz,0-1,SK Rapid Wien,2019,Jun,2,2/Jun/2019,Sun,1,0,1,SK Rapid Wien
