Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Goals,Team 1 Goals,Team 2 Goals,Result,,
Belgium,Regular Season,9,Sun Sep 30 2018,Royal Antwerp FC,2-2,KAA Gent,2018,Sep,30,30/Sep/2018,Sun,4,2,2,Draw,,
Belgium,Regular Season,9,Sun Sep 30 2018,KV Oostende,1-3,Standard Liège,2018,Sep,30,30/Sep/2018,Sun,4,1,3,Standard Liège,,
Belgium,Regular Season,10,Fri Oct 5 2018,Cercle Brugge,2-1,Sporting Charleroi,2018,Oct,5,5/Oct/2018,Fri,3,2,1,Cercle Brugge,,
Belgium,Regular Season,10,Sat Oct 6 2018,Waasland-Beveren,1-1,KV Oostende,2018,Oct,6,6/Oct/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,10,Sat Oct 6 2018,KAS Eupen,1-2,Royal Antwerp FC,2018,Oct,6,6/Oct/2018,Sat,3,1,2,Royal Antwerp FC,,
Belgium,Regular Season,10,Sat Oct 6 2018,Sint-Truidense VV,3-1,Royal Excel Mouscron,2018,Oct,6,6/Oct/2018,Sat,4,3,1,Sint-Truidense VV,,
Belgium,Regular Season,10,Sat Oct 6 2018,KSC Lokeren OV,1-3,KV Kortrijk,2018,Oct,6,6/Oct/2018,Sat,4,1,3,KV Kortrijk,,
Belgium,Regular Season,10,Sun Oct 7 2018,SV Zulte Waregem,1-2,RSC Anderlecht,2018,Oct,7,7/Oct/2018,Sun,3,1,2,RSC Anderlecht,,
Belgium,Regular Season,10,Sun Oct 7 2018,Standard Liège,3-1,Club Brugge,2018,Oct,7,7/Oct/2018,Sun,4,3,1,Standard Liège,,
Belgium,Regular Season,10,Sun Oct 7 2018,KAA Gent,1-5,KRC Genk,2018,Oct,7,7/Oct/2018,Sun,6,1,5,KRC Genk,,
Belgium,Regular Season,11,Fri Oct 19 2018,Club Brugge,1-1,Waasland-Beveren,2018,Oct,19,19/Oct/2018,Fri,2,1,1,Draw,,
Belgium,Regular Season,11,Sat Oct 20 2018,Royal Excel Mouscron,0-0,Standard Liège,2018,Oct,20,20/Oct/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,11,Sat Oct 20 2018,KV Kortrijk,3-1,Sint-Truidense VV,2018,Oct,20,20/Oct/2018,Sat,4,3,1,KV Kortrijk,,
Belgium,Regular Season,11,Sat Oct 20 2018,KRC Genk,2-1,KAS Eupen,2018,Oct,20,20/Oct/2018,Sat,3,2,1,KRC Genk,,
Belgium,Regular Season,11,Sat Oct 20 2018,Royal Antwerp FC,2-1,KSC Lokeren OV,2018,Oct,20,20/Oct/2018,Sat,3,2,1,Royal Antwerp FC,,
Belgium,Regular Season,11,Sun Oct 21 2018,RSC Anderlecht,4-2,Cercle Brugge,2018,Oct,21,21/Oct/2018,Sun,6,4,2,RSC Anderlecht,,
Belgium,Regular Season,11,Sun Oct 21 2018,KV Oostende,0-4,KAA Gent,2018,Oct,21,21/Oct/2018,Sun,4,0,4,KAA Gent,,
Belgium,Regular Season,11,Sun Oct 21 2018,Sporting Charleroi,3-2,SV Zulte Waregem,2018,Oct,21,21/Oct/2018,Sun,5,3,2,Sporting Charleroi,,
Belgium,Regular Season,12,Fri Oct 26 2018,KAA Gent,2-1,Sporting Charleroi,2018,Oct,26,26/Oct/2018,Fri,3,2,1,KAA Gent,,
Belgium,Regular Season,12,Sat Oct 27 2018,SV Zulte Waregem,2-2,Royal Excel Mouscron,2018,Oct,27,27/Oct/2018,Sat,4,2,2,Draw,,
Belgium,Regular Season,12,Sat Oct 27 2018,Cercle Brugge,1-1,KV Kortrijk,2018,Oct,27,27/Oct/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,12,Sat Oct 27 2018,Sint-Truidense VV,2-2,Club Brugge,2018,Oct,27,27/Oct/2018,Sat,4,2,2,Draw,,
Belgium,Regular Season,12,Sat Oct 27 2018,KSC Lokeren OV,0-0,KV Oostende,2018,Oct,27,27/Oct/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,12,Sun Oct 28 2018,Standard Liège,1-1,KRC Genk,2018,Oct,28,28/Oct/2018,Sun,2,1,1,Draw,,
Belgium,Regular Season,12,Sun Oct 28 2018,KAS Eupen,2-1,RSC Anderlecht,2018,Oct,28,28/Oct/2018,Sun,3,2,1,KAS Eupen,,
Belgium,Regular Season,12,Sun Oct 28 2018,Waasland-Beveren,0-1,Royal Antwerp FC,2018,Oct,28,28/Oct/2018,Sun,1,0,1,Royal Antwerp FC,,
Belgium,Regular Season,13,Tue Oct 30 2018,Sporting Charleroi,1-0,Sint-Truidense VV,2018,Oct,30,30/Oct/2018,Tue,1,1,0,Sporting Charleroi,,
Belgium,Regular Season,13,Tue Oct 30 2018,Royal Excel Mouscron,3-1,KAA Gent,2018,Oct,30,30/Oct/2018,Tue,4,3,1,Royal Excel Mouscron,,
